painting_id,img_src,painting_title,season,episode,num_colors,youtube_src
254,https://www.twoinchbrush.com/images/painting254.png,Autumn_Days,4,12,12,https://www.youtube.com/embed/VAdMkf-AAPM
255,https://www.twoinchbrush.com/images/painting255.png,Mountain_Challenge,4,13,10,https://www.youtube.com/embed/o2cjLA_wgIk
230,https://www.twoinchbrush.com/images/painting230.png,Mountain_Waterfall,5,1,11,https://www.youtube.com/embed/DqhzxdkdQS0
231,https://www.twoinchbrush.com/images/painting231.png,Twilight_Meadow,5,2,12,https://www.youtube.com/embed/6evqNlOO7Bw
232,https://www.twoinchbrush.com/images/painting232.png,Mountain_Blossoms,5,3,5,https://www.youtube.com/embed/UVhhStJAJZc
233,https://www.twoinchbrush.com/images/painting233.png,Winter_Stillness,5,4,7,https://www.youtube.com/embed/qg9c1SqdRko
234,https://www.twoinchbrush.com/images/painting234.png,Quiet_Pond,5,5,10,https://www.youtube.com/embed/aiK9xOIJtV8
235,https://www.twoinchbrush.com/images/painting235.png,Ocean_Sunrise,5,6,6,https://www.youtube.com/embed/u0Bz6TNUK1Q
236,https://www.twoinchbrush.com/images/painting236.png,Bubbling_Brook,5,7,10,https://www.youtube.com/embed/LiKCzeqn-kg
237,https://www.twoinchbrush.com/images/painting237.png,Arizona_Splendor,5,8,9,https://www.youtube.com/embed/spFwCh2616s
238,https://www.twoinchbrush.com/images/painting238.png,Anatomy_of_a_Wave,5,9,6,https://www.youtube.com/embed/DFQlu6eqrBo
239,https://www.twoinchbrush.com/images/painting239.png,The_Windmill,5,10,11,https://www.youtube.com/embed/xj8xsTSkbUk
240,https://www.twoinchbrush.com/images/painting240.png,Autumn_Glory,5,11,8,https://www.youtube.com/embed/yTzlm_t0RmY
241,https://www.twoinchbrush.com/images/painting241.png,Indian_Girl,5,12,5,https://www.youtube.com/embed/2uXMx8Kjs8I
242,https://www.twoinchbrush.com/images/painting242.png,Meadow_Stream,5,13,11,https://www.youtube.com/embed/87MMbN1bQCs
217,https://www.twoinchbrush.com/images/painting217.png,Blue_River,6,1,12,https://www.youtube.com/embed/LygUyAb78oY
218,https://www.twoinchbrush.com/images/painting218.png,Nature's_Edge,6,2,11,https://www.youtube.com/embed/Bcqyzo85A1o
219,https://www.twoinchbrush.com/images/painting219.png,Morning_Mist,6,3,10,https://www.youtube.com/embed/wbZreRaE74k
220,https://www.twoinchbrush.com/images/painting220.png,Whispering_Stream,6,4,11,https://www.youtube.com/embed/QglIjlqsUdU
221,https://www.twoinchbrush.com/images/painting221.png,Secluded_Forest,6,5,12,https://www.youtube.com/embed/USkduOfwJok
222,https://www.twoinchbrush.com/images/painting222.png,Snow_Trail,6,6,8,https://www.youtube.com/embed/n9EsFFtwZnE
