episode,title,painting_id,img_src,num_colors,youtube_src,colors,color_hex,black_gesso,bright_red,burnt_umber,cadmium_yellow,dark_sienna,indian_red,indian_yellow,liquid_black,liquid_clear,midnight_black,phthalo_blue,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,yellow_ochre,alizarin_crimson
S02E01,Meadow Lake,269,https://www.twoinchbrush.com/images/painting269.png,12,https://www.youtube.com/embed/GARWowi0QXI,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E02,Winter Sun,270,https://www.twoinchbrush.com/images/painting270.png,12,https://www.youtube.com/embed/VPfYRj4DDco,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E03,Ebony Sea,271,https://www.twoinchbrush.com/images/painting271.png,13,https://www.youtube.com/embed/aOJsKNzO3i8,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E04,Shades of Grey,272,https://www.twoinchbrush.com/images/painting272.png,3,https://www.youtube.com/embed/I-ousb8-SD0,"['Prussian_Blue','Titanium_White','Van_Dyke_Brown']","['#021E44','#FFFFFF','#221B15']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
S02E05,Autumn Splendor,273,https://www.twoinchbrush.com/images/painting273.png,11,https://www.youtube.com/embed/rTTWw5Gd79I,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
S02E06,Black River,274,https://www.twoinchbrush.com/images/painting274.png,11,https://www.youtube.com/embed/6O4sfJd8G_M,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
S02E07,Brown Mountain,275,https://www.twoinchbrush.com/images/painting275.png,11,https://www.youtube.com/embed/Vx6v47gHBWM,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
S02E08,Reflections,276,https://www.twoinchbrush.com/images/painting276.png,12,https://www.youtube.com/embed/0FYfo94qefg,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E09,Black and White Seascape,277,https://www.twoinchbrush.com/images/painting277.png,12,https://www.youtube.com/embed/PMDyPrE0puo,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#000000','#DB0000','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
S02E10,Lazy River,278,https://www.twoinchbrush.com/images/painting278.png,12,https://www.youtube.com/embed/BW2wKKFvH1g,"['Alizarin_Crimson','Bright_Red','Burnt_Umber','Cadmium_Yellow','Indian_Yellow','Phthalo_Blue','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown','Yellow_Ochre']","['#4E1500','#DB0000','#8A3324','#FFEC00','#FFB800','#0C0040','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15','#C79B00']",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,
